id,interval,previous_send_intervals_same_node,average_previous_send_intervals_same_node,previous_sender,malicious
11,-1,-1,-1,-1,0
14,96,-1,-1,11,1
12,255,-1,-1,14,1
13,233,-1,-1,12,1
5,4269,-1,-1,13,0
4,3688,-1,-1,5,0
3,4606,-1,-1,4,0
8,6900,-1,-1,3,0
7,4383,-1,-1,8,0
6,3904,-1,-1,7,0
10,12087,-1,-1,6,0
9,4207,-1,-1,10,0
2,3910,-1,-1,9,0
11,11376,59914,59914,2,0
14,377,60195,60054,11,1
12,66,60006,60038,14,1
13,329,60102,60054,12,1
5,3519,59352,59913,13,0
3,106,51164,58455,5,0
2,13298,29071,54257,3,0
8,4071,61633,55179,2,0
10,561,41820,53695,8,0
7,13728,71539,55479,10,0
9,385,51726,55138,7,0
6,13425,81445,57330,9,0
4,20,101258,60709,6,0
11,9748,59633,60632,4,0
12,662,59852,60580,11,1
14,373,60291,60562,12,1
13,174,60070,60533,14,1
6,18562,29539,58811,13,0
5,6207,81320,59996,6,0
10,3130,66414,60317,5,0
4,2245,41101,59402,10,0
9,3650,58196,59347,4,0
3,2644,92883,60805,9,0
8,2462,77976,61520,3,0
2,2617,84664,62446,8,0
7,3454,69758,62727,2,0
11,13797,59977,62625,7,0
12,505,59820,62525,11,1
14,59,59506,62421,12,1
13,332,59664,62329,14,1
6,14656,55758,62117,13,0
8,25,35445,61284,6,0
10,687,47133,60855,8,0
3,1632,40226,60248,10,0
5,19,51914,60010,3,0
7,27890,59602,59999,5,0
9,511,71290,60304,7,0
2,815,64382,60411,9,0
4,316,76071,60813,2,0
11,12998,60445,60803,4,0
14,471,60352,60792,11,1
12,3,60414,60783,14,1
13,360,60383,60774,12,1
4,1832,15664,59749,13,0
10,18630,65477,59876,4,0
7,4634,40570,59456,10,0
8,8741,79539,59884,7,0
5,5432,82633,60358,8,0
9,4274,58506,60320,5,0
2,36,57727,60268,9,0
6,4296,93602,60922,2,0
3,5437,96695,61609,6,0
11,6393,60539,61589,3,0
13,22,59727,61555,11,1
12,46,60133,61529,13,1
14,184,60320,61507,12,1
10,9450,48945,61287,14,0
9,3488,29352,60736,10,0
8,2700,41758,60415,9,0
7,3665,54164,60310,8,0
6,3185,34570,59888,7,0
5,3800,46976,59680,6,0
4,2970,87383,60120,5,0
3,3888,39791,59802,4,0
2,2671,52195,59685,3,0
12,23476,59477,59682,2,1
11,213,59758,59683,12,0
14,408,59914,59687,11,1
13,51,60195,59694,14,1
5,2769,36446,59362,13,0
2,10374,37291,59051,5,0
8,6132,63602,59114,2,0
4,6744,56726,59081,8,0
10,6505,83039,59405,4,0
6,6163,76164,59629,10,0
7,4534,83883,59948,6,0
3,6966,77006,60169,7,0
9,6106,103320,60722,3,0
11,2850,59602,60708,9,0
12,130,59945,60699,11,1
14,309,59633,60686,12,1
13,709,60291,60681,14,1
7,2157,19227,60181,13,0
4,2766,39195,59931,7,0
9,4993,13914,59390,4,0
6,2363,33883,59093,9,0
3,3469,25852,58711,6,0
8,3806,60570,58732,3,0
10,7937,55258,58693,8,0
5,27526,112539,59292,10,0
2,2341,104506,59789,5,0
12,1663,60039,59791,2,1
14,246,59976,59793,12,1
11,155,60570,59802,14,0
13,84,59506,59798,11,1
10,3087,35102,59541,13,0
6,14912,65226,59600,10,0
7,4347,79695,59805,6,0
8,3866,66164,59869,7,0
9,4831,80633,60077,8,0
2,2161,35352,59832,9,0
3,4858,81820,60047,2,0
4,3646,96291,60399,3,0
5,4561,50758,60307,4,0
11,12811,59164,60296,5,0
12,693,60258,60295,11,1
14,434,60446,60297,12,1
13,144,60351,60297,14,1
9,11669,40977,60120,13,0
7,1116,50790,60035,9,0
5,1734,28601,59752,7,0
3,1606,38414,59561,5,0
10,24681,98070,59902,3,0
8,938,75883,60042,10,0
6,1600,85696,60265,8,0
4,1519,63506,60293,6,0
2,1310,73320,60405,4,0
14,13222,59539,60397,2,1
12,128,60101,60395,14,1
11,89,60883,60399,12,0
13,709,60321,60398,11,1
8,4650,23227,60094,13,0
5,3118,53570,60041,8,0
10,6381,33664,59828,5,0
7,2322,64007,59861,10,0
9,9322,74445,59977,7,0
2,11973,51914,59914,9,0
4,9128,62352,59933,2,0
6,8919,72790,60032,4,0
11,2704,59226,60026,6,0
14,315,59758,60024,11,1
3,105,103133,60351,14,0
12,336,60071,60348,3,1
13,641,59914,60345,12,1
10,3618,49383,60264,13,0
8,813,59695,60260,10,0
2,54,26633,60014,8,0
9,15933,54539,59975,2,0
3,82,21477,59698,9,0
6,13406,38007,59543,3,0
4,1394,48320,59463,6,0
7,14108,92851,59698,4,0
5,1611,103165,60002,7,0
12,8004,59664,60000,5,1
11,276,60696,60005,12,0
14,220,60601,60009,11,1
13,114,59633,60006,14,1
10,6711,62726,60025,13,0
9,2832,48758,59949,10,0
6,3581,38851,59808,9,0
5,3144,24882,59577,6,0
2,3560,74976,59678,5,0
8,19760,94790,59908,2,0
7,3008,52821,59862,8,0
4,3985,70914,59933,7,0
3,3231,88945,60119,4,0
11,9644,59790,60117,3,0
14,0,59570,60114,11,1
12,317,60383,60115,14,1
13,203,59976,60114,12,1
3,12875,23039,59884,13,0
6,7094,66821,59927,3,0
8,3650,44007,59829,6,0
10,4312,81196,59959,8,0
2,12367,80446,60084,10,0
4,3940,57633,60069,2,0
5,4281,92227,60261,4,0
7,3515,69414,60316,5,0
9,4135,106602,60590,7,0
11,3317,60006,60586,9,0
12,37,59726,60581,11,1
14,122,60165,60579,12,1
13,801,60446,60578,14,1
